"","study","esid","id","yi","vi","pubstatus","year","deltype"
"51",11,11,51,1.2423,0.0392,0,-6.5,"general"
"52",11,12,52,1.1769,0.0387,0,-6.5,"general"
"53",11,13,53,1.076,0.0391,0,-6.5,"general"
"54",11,14,54,1.0653,0.038,0,-6.5,"overt"
"55",11,15,55,1.0379,0.1651,0,-6.5,"general"
"56",11,16,56,1.0101,0.0586,0,-6.5,"overt"
"57",11,17,57,1.0087,0.0386,0,-6.5,"overt"
"58",11,18,58,0.8765,0.0893,0,-6.5,"general"
"59",11,19,59,0.8615,0.1591,0,-6.5,"overt"
"60",11,20,60,0.8531,0.035,0,-6.5,"general"
"61",11,21,61,0.6999,0.0353,0,-6.5,"general"
"62",11,22,62,0.6947,0.0353,0,-6.5,"general"
"63",12,1,63,0.2994,0.0041,0,4.5,"overt"
"64",12,2,64,0.2992,0.0042,0,4.5,"general"
"65",12,3,65,0.2989,0.0041,0,4.5,"overt"
"66",12,4,66,0.291,0.0042,0,4.5,"overt"
"67",12,5,67,0.217,0.0041,0,4.5,"overt"
"68",13,1,68,0.3874,0.0138,1,-3.5,"general"
"69",13,2,69,0.2178,0.0137,1,-3.5,"general"
"70",14,1,70,0.4571,0.01,1,-1.5,"general"
"71",14,2,71,0.1947,0.0059,1,-1.5,"general"
"72",14,3,72,0.0239,0.0025,1,-1.5,"general"
"73",14,4,73,-0.0575,0.0032,1,-1.5,"general"
"74",14,5,74,-0.119,0.0789,1,-1.5,"general"
"75",14,6,75,-0.2945,0.0179,1,-1.5,"general"
"76",15,1,76,0.713,0.1537,1,-13.5,"general"
"77",15,2,77,0.399,0.2334,1,-13.5,"general"
"78",15,3,78,-0.7645,0.1674,1,-13.5,"general"
"79",16,1,79,0.7156,0.0914,1,2.5,"overt"
"80",16,2,80,0.7067,0.0875,1,2.5,"covert"
"81",16,3,81,0.6475,0.033,1,2.5,"general"
"82",16,4,82,0.6428,0.0861,1,2.5,"covert"
"83",16,5,83,0.6271,0.04,1,2.5,"general"
"84",16,6,84,0.6238,0.068,1,2.5,"general"
"85",16,7,85,0.6025,0.1287,1,2.5,"overt"
"86",16,8,86,0.5763,0.0332,1,2.5,"general"
"87",16,9,87,0.5171,0.0517,1,2.5,"covert"
"88",16,10,88,-0.3797,0.039,1,2.5,"covert"
"89",16,11,89,-0.4228,0.0664,1,2.5,"covert"
"90",16,12,90,-0.4245,0.0809,1,2.5,"covert"
"91",16,13,91,-0.4671,0.0667,1,2.5,"covert"
"92",16,14,92,-0.523,0.0988,1,2.5,"overt"
"93",16,15,93,-0.5675,0.034,1,2.5,"covert"
"94",16,16,94,-0.7586,0.0437,1,2.5,"covert"
"95",17,1,95,0.3453,0.034,1,5.5,"general"
"96",17,2,96,0.1221,0.0158,1,5.5,"general"
"97",17,3,97,0.0906,0.0107,1,5.5,"general"
"98",17,4,98,0.004,0.0208,1,5.5,"general"
"99",17,5,99,-0.0207,0.0123,1,5.5,"general"
"100",17,6,100,-0.066,0.01,1,5.5,"general"
