id,study,effect_size_id,species,species_id,subphylum,phylum,assortment_trait,trait_dimensions,field_collection,publication_year,pooled_data,spatially_pooled,temporally_pooled,yi,ni,vi
Adams et al. 1985b - Asellus aquaticus,Adams et al. 1985b,11,Asellus aquaticus,Asellus_aquaticus_ott335971,Crustacea,Arthropoda,weight,uni,yes,1985,no,no,no,0.44,16,0.0625
Adams et al. 1985b - Asellus aquaticus,Adams et al. 1985b,12,Asellus aquaticus,Asellus_aquaticus_ott335971,Crustacea,Arthropoda,weight,uni,yes,1985,no,no,no,0.32,93,0.010752688
Adams et al. 1985b - Asellus aquaticus,Adams et al. 1985b,13,Asellus aquaticus,Asellus_aquaticus_ott335971,Crustacea,Arthropoda,weight,uni,yes,1985,no,no,no,0.16,20,0.05
Ahmad et al 1985 - Homo sapiens,Ahmad et al 1985,14,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,body height,uni,yes,1985,yes,yes,no,0.36,1500,0.000666667
Ajala et al. 2011 - Homo sapiens,Ajala et al. 2011,15,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,body height,uni,yes,2011,yes,yes,no,0.18,226,0.004424779
Alcantara et al. 2007 - Scinax centralis,Alcantara et al. 2007,16,Scinax centralis,Scinax_centralis_ott3619799,Amphibia,Chordata,snout-vent length,uni,yes,2007,no,no,no,0.55,11,0.090909091
Alcantara et al. 2007 - Scinax centralis,Alcantara et al. 2007,17,Scinax centralis,Scinax_centralis_ott3619799,Amphibia,Chordata,weight,uni,yes,2007,no,no,no,0.07,11,0.090909091
Alcock and Hadley 1987 - Lytta magister,Alcock and Hadley 1987,18,Lytta magister,Lytta_magister_ott3356974,Insecta,Arthropoda,head width,uni,yes,1987,yes,yes,yes,0.6,20,0.05
Al-Kandari et al.  2002 - Homo sapiens,Al-Kandari et al.  2002,19,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,body height,uni,yes,2002,yes,yes,no,0.4,121,0.008264463
Al-Kandari et al.  2002 - Homo sapiens,Al-Kandari et al.  2002,20,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,body height,uni,yes,2002,yes,yes,no,0.25,79,0.012658228
Al-Kandari et al.  2002 - Homo sapiens,Al-Kandari et al.  2002,21,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,weight,uni,yes,2002,yes,yes,no,0.21,121,0.008264463
Al-Kandari et al.  2002 - Homo sapiens,Al-Kandari et al.  2002,22,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,weight,uni,yes,2002,yes,yes,no,0.2,79,0.012658228
Al-Kandari et al.  2002 - Homo sapiens,Al-Kandari et al.  2002,23,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,body height,uni,yes,2002,yes,yes,no,0.14,42,0.023809524
Al-Kandari et al.  2002 - Homo sapiens,Al-Kandari et al.  2002,24,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,weight,uni,yes,2002,yes,yes,no,-0.22,42,0.023809524
Alonzo et al. 2001 - Amatitlania nigrofasciata,Alonzo et al. 2001,25,Amatitlania nigrofasciata,Amatitlania_nigrofasciata_ott170115,Teleostei,Chordata,standard length,uni,yes,2001,no,no,no,0.572,70,0.014285714
Angeloni and Bradbury 1999 - Aplysia vaccaria,Angeloni and Bradbury 1999,26,Aplysia vaccaria,Aplysia_vaccaria_ott640603,Gastropoda,Lophotrochozoa,weight,uni,yes,1999,yes,no,yes,0.13,190,0.005263158
Angeloni et al. 2003 - Aplysia californica,Angeloni et al. 2003,27,Aplysia californica,Aplysia_californica_ott51009,Gastropoda,Lophotrochozoa,weight,uni,yes,2003,no,no,no,0.19,108,0.009259259
Annest et al. 1983 - Homo sapiens,Annest et al. 1983,28,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,body height,uni,yes,1983,no,no,no,0.251,407,0.002457002
Annest et al. 1983 - Homo sapiens,Annest et al. 1983,29,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,weight,uni,yes,1983,no,no,no,0.183,407,0.002457002
Apanius and Nisbet 2006 - Sterna hirundo,Apanius and Nisbet 2006,30,Sterna hirundo,Sterna_hirundo_hirundo_ott5560401,Aves,Chordata,weight,uni,yes,2006,no,no,no,-0.05,26,0.038461538
Arak 1988 - Epidalea calamita,Arak 1988,31,Epidalea calamita,Epidalea_calamita_ott436364,Amphibia,Chordata,snout-vent length,uni,yes,1988,yes,no,yes,0.12,30,0.033333333
Arnqvist 1996 - Gerris lacustris,Arnqvist 1996,32,Gerris lacustris,Gerris_lacustris_ott543700,Insecta,Arthropoda,body length,uni,yes,1996,no,no,no,0.16,108,0.009259259
Arnqvist 1996 - Halobates robustus,Arnqvist 1996,33,Halobates robustus,Halobates_robustus_ott219408,Insecta,Arthropoda,body length,uni,yes,1996,no,no,no,0.07,18,0.055555556
Arnqvist 1996 - Aquarius remigis,Arnqvist 1996,34,Aquarius remigis,Aquarius_remigis_ott436657,Insecta,Arthropoda,body length,uni,yes,1996,no,no,no,0.23,28,0.035714286
Arnqvist 1996 - Gerris buenoi,Arnqvist 1996,35,Gerris buenoi,Gerris_buenoi_ott706417,Insecta,Arthropoda,body length,uni,yes,1996,no,no,no,-0.16,27,0.037037037
Arnqvist 1996 - Aquarius remigis,Arnqvist 1996,36,Aquarius remigis,Aquarius_remigis_ott436657,Insecta,Arthropoda,body length,uni,yes,1996,no,no,no,0.05,13,0.076923077
Arnqvist 1996 - Gerris buenoi,Arnqvist 1996,37,Gerris buenoi,Gerris_buenoi_ott706417,Insecta,Arthropoda,body length,uni,yes,1996,no,no,no,0.2,25,0.04
Arnqvist 1996 - Aquarius remigis,Arnqvist 1996,38,Aquarius remigis,Aquarius_remigis_ott436657,Insecta,Arthropoda,body length,uni,yes,1996,no,no,no,0.52,12,0.083333333
Arnqvist 1996 - Gerris buenoi,Arnqvist 1996,39,Gerris buenoi,Gerris_buenoi_ott706417,Insecta,Arthropoda,body length,uni,yes,1996,no,no,no,-0.05,20,0.05
Arnqvist 1996 - Aquarius remigis,Arnqvist 1996,40,Aquarius remigis,Aquarius_remigis_ott436657,Insecta,Arthropoda,body length,uni,yes,1996,no,no,no,0.12,24,0.041666667
Arnqvist 1996 - Gerris buenoi,Arnqvist 1996,41,Gerris buenoi,Gerris_buenoi_ott706417,Insecta,Arthropoda,body length,uni,yes,1996,no,no,no,0.28,63,0.015873016
Arnqvist 1996 - Gerris odontogaster,Arnqvist 1996,42,Gerris odontogaster,Gerris_odontogaster_ott494591,Insecta,Arthropoda,body length,uni,yes,1996,no,no,no,0.14,75,0.013333333
Arnqvist 1996 - Gerris odontogaster,Arnqvist 1996,43,Gerris odontogaster,Gerris_odontogaster_ott494591,Insecta,Arthropoda,body length,uni,yes,1996,no,no,no,0.25,80,0.0125
Arnqvist 1996 - Gerris odontogaster,Arnqvist 1996,44,Gerris odontogaster,Gerris_odontogaster_ott494591,Insecta,Arthropoda,body length,uni,yes,1996,no,no,no,0.18,54,0.018518519
Arnqvist 1996 - Gerris odontogaster,Arnqvist 1996,45,Gerris odontogaster,Gerris_odontogaster_ott494591,Insecta,Arthropoda,body length,uni,yes,1996,no,no,no,-0.1,79,0.012658228
Arnqvist 1996 - Gerris odontogaster,Arnqvist 1996,46,Gerris odontogaster,Gerris_odontogaster_ott494591,Insecta,Arthropoda,body length,uni,yes,1996,no,no,no,-0.19,78,0.012820513
Arnqvist 1996 - Gerris lateralis,Arnqvist 1996,47,Gerris lateralis,Gerris_lateralis_ott782398,Insecta,Arthropoda,body length,uni,yes,1996,no,no,no,0.01,31,0.032258065
Arnqvist 1996 - Gerris odontogaster,Arnqvist 1996,48,Gerris odontogaster,Gerris_odontogaster_ott494591,Insecta,Arthropoda,body length,uni,yes,1996,no,no,no,0.05,77,0.012987013
Arnqvist 1996 - Gerris lateralis,Arnqvist 1996,49,Gerris lateralis,Gerris_lateralis_ott782398,Insecta,Arthropoda,body length,uni,yes,1996,no,no,no,0.15,80,0.0125
Arnqvist 1996 - Gerris odontogaster,Arnqvist 1996,50,Gerris odontogaster,Gerris_odontogaster_ott494591,Insecta,Arthropoda,body length,uni,yes,1996,no,no,no,0.09,80,0.0125
Arnqvist 1996 - Aquarius remigis,Arnqvist 1996,51,Aquarius remigis,Aquarius_remigis_ott436657,Insecta,Arthropoda,body length,uni,yes,1996,no,no,no,0.48,13,0.076923077
Arnqvist 1996 - Aquarius remigis,Arnqvist 1996,52,Aquarius remigis,Aquarius_remigis_ott436657,Insecta,Arthropoda,body length,uni,yes,1996,no,no,no,0.23,22,0.045454545
Arnqvist 1996 - Aquarius remigis,Arnqvist 1996,53,Aquarius remigis,Aquarius_remigis_ott436657,Insecta,Arthropoda,body length,uni,yes,1996,no,no,no,0.23,41,0.024390244
Arnqvist 1996 - Aquarius remigis,Arnqvist 1996,54,Aquarius remigis,Aquarius_remigis_ott436657,Insecta,Arthropoda,body length,uni,yes,1996,no,no,no,-0.03,12,0.083333333
Arnqvist 1996 - Aquarius remigis,Arnqvist 1996,55,Aquarius remigis,Aquarius_remigis_ott436657,Insecta,Arthropoda,body length,uni,yes,1996,no,no,no,0.12,14,0.071428571
Arnqvist 1996 - Aquarius remigis,Arnqvist 1996,56,Aquarius remigis,Aquarius_remigis_ott436657,Insecta,Arthropoda,body length,uni,yes,1996,no,no,no,0.05,26,0.038461538
Arnqvist 1996 - Aquarius remigis,Arnqvist 1996,57,Aquarius remigis,Aquarius_remigis_ott436657,Insecta,Arthropoda,body length,uni,yes,1996,no,no,no,-0.16,12,0.083333333
Arnqvist 1996 - Aquarius remigis,Arnqvist 1996,58,Aquarius remigis,Aquarius_remigis_ott436657,Insecta,Arthropoda,body length,uni,yes,1996,no,no,no,0.36,21,0.047619048
Arnqvist 1996 - Aquarius remigis,Arnqvist 1996,59,Aquarius remigis,Aquarius_remigis_ott436657,Insecta,Arthropoda,body length,uni,yes,1996,no,no,no,0.29,20,0.05
Arnqvist 1996 - Aquarius remigis,Arnqvist 1996,60,Aquarius remigis,Aquarius_remigis_ott436657,Insecta,Arthropoda,body length,uni,yes,1996,no,no,no,0.1,29,0.034482759
Arnqvist 1996 - Aquarius remigis,Arnqvist 1996,61,Aquarius remigis,Aquarius_remigis_ott436657,Insecta,Arthropoda,body length,uni,yes,1996,no,no,no,0.05,44,0.022727273
Arnqvist 1996 - Aquarius remigis,Arnqvist 1996,62,Aquarius remigis,Aquarius_remigis_ott436657,Insecta,Arthropoda,body length,uni,yes,1996,no,no,no,0.02,16,0.0625
Arnqvist 1996 - Aquarius remigis,Arnqvist 1996,63,Aquarius remigis,Aquarius_remigis_ott436657,Insecta,Arthropoda,body length,uni,yes,1996,no,no,no,-0.2,15,0.066666667
Arnqvist 1996 - Aquarius remigis,Arnqvist 1996,64,Aquarius remigis,Aquarius_remigis_ott436657,Insecta,Arthropoda,body length,uni,yes,1996,no,no,no,-0.1,38,0.026315789
Arnqvist 1996 - Aquarius remigis,Arnqvist 1996,65,Aquarius remigis,Aquarius_remigis_ott436657,Insecta,Arthropoda,body length,uni,yes,1996,no,no,no,0.4,24,0.041666667
Arntzen 1999 - Bufo bufo,Arntzen 1999,66,Bufo bufo,Bufo_bufo_ott889350,Amphibia,Chordata,snout-urostyle length,uni,yes,1999,no,no,no,0.35,49,0.020408163
Arntzen 1999 - Bufo bufo,Arntzen 1999,67,Bufo bufo,Bufo_bufo_ott889350,Amphibia,Chordata,snout-urostyle length,uni,yes,1999,no,no,no,0.32,25,0.04
Arntzen 1999 - Bufo bufo,Arntzen 1999,68,Bufo bufo,Bufo_bufo_ott889350,Amphibia,Chordata,snout-urostyle length,uni,yes,1999,no,no,no,0.18,22,0.045454545
Arntzen 1999 - Bufo bufo,Arntzen 1999,69,Bufo bufo,Bufo_bufo_ott889350,Amphibia,Chordata,snout-urostyle length,uni,yes,1999,no,no,no,-0.05,64,0.015625
Avaca et al. 2012 - Buccinanops globulosus,Avaca et al. 2012,70,Buccinanops globulosus,Buccinanops_globulosus_ott440289,Gastropoda,Lophotrochozoa,shell length,uni,yes,2012,yes,no,yes,0.47,104,0.009615385
Avaca et al. 2012 - Buccinanops globulosus,Avaca et al. 2012,71,Buccinanops globulosus,Buccinanops_globulosus_ott440289,Gastropoda,Lophotrochozoa,shell length,uni,yes,2012,no,no,no,0.464,53,0.018867925
Avaca et al. 2012 - Buccinanops globulosus,Avaca et al. 2012,72,Buccinanops globulosus,Buccinanops_globulosus_ott440289,Gastropoda,Lophotrochozoa,shell length,uni,yes,2012,no,no,no,0.817,10,0.1
Avaca et al. 2012 - Buccinanops globulosus,Avaca et al. 2012,73,Buccinanops globulosus,Buccinanops_globulosus_ott440289,Gastropoda,Lophotrochozoa,shell length,uni,yes,2012,no,no,no,0.3,40,0.025
Awata and Kohda 2004 - Julidochromis ornatus,Awata and Kohda 2004,74,Julidochromis ornatus,Julidochromis_ornatus_ott97293,Teleostei,Chordata,body length,uni,yes,2004,yes,yes,yes,0.33,55,0.018181818
Baeza and Diaz-Valdes 2011 - Ascidonia flavomaculata,Baeza and Diaz-Valdes 2011,75,Ascidonia flavomaculata,Ascidonia_flavomaculata_ott4665759,Crustacea,Arthropoda,carapace length,uni,yes,2011,no,no,no,0.084,9,0.111111111
Baeza and Diaz-Valdes 2011 - Ascidonia flavomaculata,Baeza and Diaz-Valdes 2011,76,Ascidonia flavomaculata,Ascidonia_flavomaculata_ott4665759,Crustacea,Arthropoda,carapace length,uni,yes,2011,no,no,no,0.221,20,0.05
Baeza et al. 2011 - Pontonia mexicana,Baeza et al. 2011,77,Pontonia mexicana,Pontonia_mexicana_ott1068125,Crustacea,Arthropoda,carapace length,uni,yes,2011,no,no,no,0.29,74,0.013513514
Baeza et al. 2013 - Paranchistus pycnodontae,Baeza et al. 2013,78,Paranchistus pycnodontae,Paranchistus_pycnodontae_ott5090016,Crustacea,Arthropoda,carapace length,uni,yes,2013,yes,yes,no,0.61,21,0.047619048
Baeza et al. 2013 - Paranchistus pycnodontae,Baeza et al. 2013,79,Paranchistus pycnodontae,Paranchistus_pycnodontae_ott5090016,Crustacea,Arthropoda,propodus length,uni,yes,2013,yes,yes,no,0.49,29,0.034482759
Baldwin and Damon 1973 - Homo sapiens,Baldwin and Damon 1973,80,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,ear length,uni,yes,1973,no,no,no,0.23,49,0.020408163
Baldwin and Damon 1973 - Homo sapiens,Baldwin and Damon 1973,81,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,nose height,uni,yes,1973,no,no,no,0.19,49,0.020408163
Baldwin and Damon 1973 - Homo sapiens,Baldwin and Damon 1973,82,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,body height,uni,yes,1973,no,no,no,0.12,49,0.020408163
Baldwin and Damon 1973 - Homo sapiens,Baldwin and Damon 1973,83,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,weight,uni,yes,1973,no,no,no,0.01,49,0.020408163
Baldwin and Damon 1973 - Homo sapiens,Baldwin and Damon 1973,84,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,nose height,uni,yes,1973,no,no,no,0.3,49,0.020408163
Baldwin and Damon 1973 - Homo sapiens,Baldwin and Damon 1973,85,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,weight,uni,yes,1973,no,no,no,0.02,49,0.020408163
Baldwin and Damon 1973 - Homo sapiens,Baldwin and Damon 1973,86,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,ear length,uni,yes,1973,no,no,no,0.02,49,0.020408163
Baldwin and Damon 1973 - Homo sapiens,Baldwin and Damon 1973,87,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,body height,uni,yes,1973,no,no,no,-0.1,49,0.020408163
Baldwin and Damon 1973 - Homo sapiens,Baldwin and Damon 1973,88,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,ear length,uni,yes,1973,no,no,no,0.15,50,0.02
Baldwin and Damon 1973 - Homo sapiens,Baldwin and Damon 1973,89,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,weight,uni,yes,1973,no,no,no,0.11,50,0.02
Baldwin and Damon 1973 - Homo sapiens,Baldwin and Damon 1973,90,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,nose height,uni,yes,1973,no,no,no,0.08,50,0.02
Baldwin and Damon 1973 - Homo sapiens,Baldwin and Damon 1973,91,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,body height,uni,yes,1973,no,no,no,-0.05,50,0.02
Baldwin and Damon 1973 - Homo sapiens,Baldwin and Damon 1973,92,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,ear length,uni,yes,1973,no,no,no,0.31,64,0.015625
Baldwin and Damon 1973 - Homo sapiens,Baldwin and Damon 1973,93,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,nose height,uni,yes,1973,no,no,no,0.15,64,0.015625
Baldwin and Damon 1973 - Homo sapiens,Baldwin and Damon 1973,94,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,body height,uni,yes,1973,no,no,no,0.12,64,0.015625
Baldwin and Damon 1973 - Homo sapiens,Baldwin and Damon 1973,95,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,weight,uni,yes,1973,no,no,no,0.08,64,0.015625
Barquero and Hilfe 2017 - Engystomops putulosus,Barquero and Hilfe 2017,96,Engystomops putulosus,Engystomops_pustulatus_ott262685,Amphibia,Chordata,snout-vent length,uni,yes,2017,no,no,no,-0.086,34,0.029411765
Baruch et al. 2017 - Phloeosinus armatus,Baruch et al. 2017,97,Phloeosinus armatus,Phloeosinus_armatus_ott3409670,Insecta,Arthropoda,pronotal width,uni,yes,2017,yes,no,yes,0.318,125,0.008
Basto-Riascos et al. 2017 - Espadarana prosoblepon,Basto-Riascos et al. 2017,98,Espadarana prosoblepon,Espadarana_prosoblepon_ott226407,Amphibia,Chordata,snout-vent length,uni,yes,2017,yes,no,yes,0.293,10,0.1
Bastos and Haddad 1996 - Dendropsophus elegans,Bastos and Haddad 1996,99,Dendropsophus elegans,Dendropsophus_elegans_ott108403,Amphibia,Chordata,snout-vent length,uni,yes,1996,yes,no,yes,0.42,51,0.019607843
Bastos and Haddad 1996 - Dendropsophus elegans,Bastos and Haddad 1996,100,Dendropsophus elegans,Dendropsophus_elegans_ott108403,Amphibia,Chordata,weight,uni,yes,1996,yes,no,yes,0.19,51,0.019607843
Bastos-Pereira and Bueno 2016 - Hyalella longistila,Bastos-Pereira and Bueno 2016,101,Hyalella longistila,Hyalella_longistilus_ott2983719,Crustacea,Arthropoda,cephalothorax length,uni,yes,2016,yes,no,yes,0.988,37,0.027027027
Baur 1992 - Arianta arbustorum,Baur 1992,102,Arianta arbustorum,Arianta_arbustorum_styriaca_ott69183,Gastropoda,Lophotrochozoa,shell volume,tri,yes,1992,no,no,no,0.245,35,0.028571429
Baur 1992 - Helix pomatia,Baur 1992,103,Helix pomatia,Helix_pomatia_ott349693,Gastropoda,Lophotrochozoa,shell volume,tri,yes,1992,no,no,no,0.19,83,0.012048193
Baxter 1997 - Salvelinus confluentus,Baxter 1997,104,Salvelinus confluentus,Salvelinus_confluentus_ott688321,Teleostei,Chordata,body length,uni,yes,1997,yes,yes,yes,0.37,64,0.015625
Beaulieu et al. 2010 - Pygoscelis adeliae,Beaulieu et al. 2010,105,Pygoscelis adeliae,Pygoscelis_adeliae_ott494357,Aves,Chordata,weight,uni,yes,2010,yes,no,yes,0.03,18,0.055555556
Becker et al. 2012 - Homo sapiens,Becker et al. 2012,106,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,body height,uni,yes,2012,yes,yes,no,0.51,27,0.037037037
Becker et al. 2012 - Homo sapiens,Becker et al. 2012,107,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,body height,uni,yes,2012,no,no,no,0.23,72,0.013888889
Beeching and Hopp 1999 - Amatitlania nigrofasciata,Beeching and Hopp 1999,108,Amatitlania nigrofasciata,Amatitlania_nigrofasciata_ott170115,Teleostei,Chordata,standard length,uni,no,1999,no,no,no,0.017,17,0.058823529
Beeching et al. 2004 - Amatitlania nigrofasciata,Beeching et al. 2004,109,Amatitlania nigrofasciata,Amatitlania_nigrofasciata_ott170115,Teleostei,Chordata,standard length,uni,no,2004,no,no,no,0.47,40,0.025
Bel-Venner et al. 2008 - Zygiella x-notata,Bel-Venner et al. 2008,110,Zygiella x-notata,Zygiella_x-notata_ott504327,Chelicerata,Arthropoda,residual size,dimensionless,yes,2008,no,no,no,-0.171,44,0.022727273
Bel-Venner et al. 2008 - Zygiella x-notata,Bel-Venner et al. 2008,111,Zygiella x-notata,Zygiella_x-notata_ott504327,Chelicerata,Arthropoda,residual size,dimensionless,yes,2008,no,no,no,0.488,32,0.03125
Benvenuto et al. 2009 - Limnadia badia,Benvenuto et al. 2009,112,Limnadia badia,Limnadia_badia_ott746551,Crustacea,Arthropoda,body length,uni,yes,2009,no,no,no,0.82,11,0.090909091
Bernstein and Bernstein 1999 - Chauliognathus basalis,Bernstein and Bernstein 1999,113,Chauliognathus basalis,Chauliognathus_basalis_ott3413950,Insecta,Arthropoda,elytron length,uni,yes,1999,no,no,no,0.53,10,0.1
Bernstein and Bernstein 1999 - Chauliognathus basalis,Bernstein and Bernstein 1999,114,Chauliognathus basalis,Chauliognathus_basalis_ott3413950,Insecta,Arthropoda,elytron length,uni,yes,1999,no,no,no,0.53,12,0.083333333
Bernstein and Bernstein 1999 - Chauliognathus basalis,Bernstein and Bernstein 1999,115,Chauliognathus basalis,Chauliognathus_basalis_ott3413950,Insecta,Arthropoda,elytron length,uni,yes,1999,no,no,no,0.04,40,0.025
Bernstein and Bernstein 1999 - Chauliognathus deceptus,Bernstein and Bernstein 1999,116,Chauliognathus deceptus,Chauliognathus_deceptus_ott3413977,Insecta,Arthropoda,elytron length,uni,yes,1999,no,no,no,0.42,30,0.033333333
Bernstein and Bernstein 1999 - Chauliognathus basalis,Bernstein and Bernstein 1999,117,Chauliognathus basalis,Chauliognathus_basalis_ott3413950,Insecta,Arthropoda,elytron length,uni,yes,1999,no,no,no,0.1,40,0.025
Bernstein and Bernstein 1999 - Chauliognathus deceptus,Bernstein and Bernstein 1999,118,Chauliognathus deceptus,Chauliognathus_deceptus_ott3413977,Insecta,Arthropoda,elytron length,uni,yes,1999,no,no,no,0.65,28,0.035714286
Bernstein and Bernstein 1999 - Chauliognathus basalis,Bernstein and Bernstein 1999,119,Chauliognathus basalis,Chauliognathus_basalis_ott3413950,Insecta,Arthropoda,elytron length,uni,yes,1999,no,no,no,0.17,40,0.025
Bernstein and Bernstein 1999 - Chauliognathus deceptus,Bernstein and Bernstein 1999,120,Chauliognathus deceptus,Chauliognathus_deceptus_ott3413977,Insecta,Arthropoda,elytron length,uni,yes,1999,no,no,no,0.16,38,0.026315789
Bernstein and Bernstein 1999 - Chauliognathus basalis,Bernstein and Bernstein 1999,121,Chauliognathus basalis,Chauliognathus_basalis_ott3413950,Insecta,Arthropoda,elytron length,uni,yes,1999,no,no,no,-0.09,40,0.025
Bernstein and Bernstein 1999 - Chauliognathus deceptus,Bernstein and Bernstein 1999,122,Chauliognathus deceptus,Chauliognathus_deceptus_ott3413977,Insecta,Arthropoda,elytron length,uni,yes,1999,no,no,no,-0.02,36,0.027777778
Bernstein and Bernstein 2003 - Chauliognathus lewisi,Bernstein and Bernstein 2003,123,Chauliognathus lewisi,Chauliognathus_lewisi_ott3413978,Insecta,Arthropoda,elytron length,uni,yes,2003,no,no,no,-0.09,44,0.022727273
Bernstein and Bernstein 2003 - Chauliognathus limbicollis,Bernstein and Bernstein 2003,124,Chauliognathus limbicollis,Chauliognathus_limbicollis_ott3413962,Insecta,Arthropoda,elytron length,uni,yes,2003,no,no,no,0.1,45,0.022222222
Bernstein and Bernstein 2003 - Chauliognathus obscurus,Bernstein and Bernstein 2003,125,Chauliognathus obscurus,Chauliognathus_obscurus_ott3413960,Insecta,Arthropoda,elytron length,uni,yes,2003,no,no,no,0.02,17,0.058823529
Bernstein and Bernstein 2003 - Chauliognathus werneri,Bernstein and Bernstein 2003,126,Chauliognathus werneri,Chauliognathus_werneri_ott3413957,Insecta,Arthropoda,elytron length,uni,yes,2003,no,no,no,0.42,15,0.066666667
Bernstein and Bernstein 2003 - Chauliognathus deceptus,Bernstein and Bernstein 2003,127,Chauliognathus deceptus,Chauliognathus_deceptus_ott3413977,Insecta,Arthropoda,elytron length,uni,yes,2003,no,no,no,0.2,30,0.033333333
Bernstein and Bernstein 2003 - Chauliognathus deceptus,Bernstein and Bernstein 2003,128,Chauliognathus deceptus,Chauliognathus_deceptus_ott3413977,Insecta,Arthropoda,elytron length,uni,yes,2003,no,no,no,0.03,31,0.032258065
Bernstein and Bernstein 2003 - Chauliognathus deceptus,Bernstein and Bernstein 2003,129,Chauliognathus deceptus,Chauliognathus_deceptus_ott3413977,Insecta,Arthropoda,elytron length,uni,yes,2003,no,no,no,0.21,95,0.010526316
Bernstein and Bernstein 2003 - Chauliognathus arizonensis,Bernstein and Bernstein 2003,130,Chauliognathus arizonensis,Chauliognathus_arizonensis_ott3413984,Insecta,Arthropoda,elytron length,uni,yes,2003,no,no,no,-0.05,30,0.033333333
