"","Author","Year","Title","DOI","DTIC.link","SA.measure.type","Sample.size","Sample.size.stats","es.z","vi.z","SampleID","Outcome"
"34","Kaber",2004,"The effects of level of automation and adaptive automation on human performance, situation awareness and workload in a dynamic control task.","10.1080/1463922021000054335",NA,"SAGAT",24,24,0.368206835,0.047619048,"Kaber2004",34
"35","Kaber",2004,"The effects of level of automation and adaptive automation on human performance, situation awareness and workload in a dynamic control task.","10.1080/1463922021000054335",NA,"SAGAT",24,24,0.164345483,0.047619048,"Kaber2004",35
"36","Kaber",2004,"The effects of level of automation and adaptive automation on human performance, situation awareness and workload in a dynamic control task.","10.1080/1463922021000054335",NA,"SAGAT",24,24,-0.141139294,0.047619048,"Kaber2004",36
"37","Kaber",2004,"The effects of level of automation and adaptive automation on human performance, situation awareness and workload in a dynamic control task.","10.1080/1463922021000054335",NA,"SAGAT",24,24,0.261782094,0.047619048,"Kaber2004",37
"38","Kass et al.",2011,"Effects of mindfulness training on simulated driving: Preliminary results","10.1007/s12671-011-0066-1",NA,"SAGAT",16,16,0.775298706,0.076923077,"Kass et al.2011",38
"39","Kass et al.",2011,"Effects of mindfulness training on simulated driving: Preliminary results","10.1007/s12671-011-0066-1",NA,"SAGAT",16,16,0.140925576,0.076923077,"Kass et al.2011",39
"40","Kass et al.",2011,"Effects of mindfulness training on simulated driving: Preliminary results","10.1007/s12671-011-0066-1",NA,"SAGAT",16,16,0.110446916,0.076923077,"Kass et al.2011",40
"41","Kass et al.",2011,"Effects of mindfulness training on simulated driving: Preliminary results","10.1007/s12671-011-0066-1",NA,"SAGAT",16,16,0.010000333,0.076923077,"Kass et al.2011",41
"42","Lo et al.",2016,"Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers","10.1016/j.trf.2016.09.006",NA,"SAGAT",20,20,-1.098612289,0.058823529,"Lo et al. 2016b",42
"43","Lo et al.",2016,"Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers","10.1016/j.trf.2016.09.006",NA,"SAGAT",20,20,-0.829114038,0.058823529,"Lo et al. 2016b",43
"44","Lo et al.",2016,"Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers","10.1016/j.trf.2016.09.006",NA,"SAGAT",20,20,0.758173745,0.058823529,"Lo et al. 2016b",44
"45","Lo et al.",2016,"Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers","10.1016/j.trf.2016.09.006",NA,"SAGAT",20,20,-0.741416144,0.058823529,"Lo et al. 2016b",45
"46","Lo et al.",2016,"Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers","10.1016/j.trf.2016.09.006",NA,"MARS",9,9,-0.647522845,0.166666667,"Lo et al. 2016a",46
"47","Lo et al.",2016,"Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers","10.1016/j.trf.2016.09.006",NA,"SAGAT",20,20,-0.536060337,0.058823529,"Lo et al. 2016b",47
"48","Lo et al.",2016,"Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers","10.1016/j.trf.2016.09.006",NA,"SAGAT",20,20,-0.536060337,0.058823529,"Lo et al. 2016b",48
"49","Lo et al.",2016,"Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers","10.1016/j.trf.2016.09.006",NA,"MARS",9,9,0.447692024,0.166666667,"Lo et al. 2016a",49
"50","Lo et al.",2016,"Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers","10.1016/j.trf.2016.09.006",NA,"SAGAT",20,20,-0.42364893,0.058823529,"Lo et al. 2016b",50
"51","Lo et al.",2016,"Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers","10.1016/j.trf.2016.09.006",NA,"SAGAT",9,9,0.331647109,0.166666667,"Lo et al. 2016a",51
"52","Lo et al.",2016,"Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers","10.1016/j.trf.2016.09.006",NA,"MARS",9,9,0.3884231,0.166666667,"Lo et al. 2016a",52
"53","Lo et al.",2016,"Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers","10.1016/j.trf.2016.09.006",NA,"SAGAT",20,20,-0.42364893,0.058823529,"Lo et al. 2016b",53
"54","Lo et al.",2016,"Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers","10.1016/j.trf.2016.09.006",NA,"SAGAT",20,20,-0.472230804,0.058823529,"Lo et al. 2016b",54
"55","Lo et al.",2016,"Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers","10.1016/j.trf.2016.09.006",NA,"SAGAT",9,9,0.758173745,0.166666667,"Lo et al. 2016a",55
"56","Lo et al.",2016,"Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers","10.1016/j.trf.2016.09.006",NA,"MARS",9,9,-0.792813632,0.166666667,"Lo et al. 2016a",56
"57","Lo et al.",2016,"Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers","10.1016/j.trf.2016.09.006",NA,"MARS",9,9,-0.829114038,0.166666667,"Lo et al. 2016a",57
"58","Lo et al.",2016,"Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers","10.1016/j.trf.2016.09.006",NA,"SAGAT",20,20,-1.098612289,0.058823529,"Lo et al. 2016b",58
"59","Lo et al.",2016,"Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers","10.1016/j.trf.2016.09.006",NA,"SAGAT",9,9,0.129999665,0.166666667,"Lo et al. 2016a",59
"60","Lo et al.",2016,"Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers","10.1016/j.trf.2016.09.006",NA,"SAGAT",9,9,0.726904199,0.166666667,"Lo et al. 2016a",60
"61","Lo et al.",2016,"Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers","10.1016/j.trf.2016.09.006",NA,"MARS",9,9,-0.396194151,0.166666667,"Lo et al. 2016a",61
"62","Lo et al.",2016,"Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers","10.1016/j.trf.2016.09.006",NA,"MARS",9,9,0.507990155,0.166666667,"Lo et al. 2016a",62
"63","Lo et al.",2016,"Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers","10.1016/j.trf.2016.09.006",NA,"MARS",9,9,-0.16713243,0.166666667,"Lo et al. 2016a",63
"64","Lo et al.",2016,"Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers","10.1016/j.trf.2016.09.006",NA,"SAGAT",20,20,0.145618712,0.058823529,"Lo et al. 2016b",64
"65","Lo et al.",2016,"Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers","10.1016/j.trf.2016.09.006",NA,"SAGAT",20,20,0.358596718,0.058823529,"Lo et al. 2016b",65
"66","Lo et al.",2016,"Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers","10.1016/j.trf.2016.09.006",NA,"SAGAT",20,20,0.209309628,0.058823529,"Lo et al. 2016b",66
"67","Lo et al.",2016,"Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers","10.1016/j.trf.2016.09.006",NA,"SAGAT",20,20,0.063669033,0.058823529,"Lo et al. 2016b",67
"68","Lo et al.",2016,"Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers","10.1016/j.trf.2016.09.006",NA,"SAGAT",20,20,0.379237543,0.058823529,"Lo et al. 2016b",68
"69","Loft",2016,"The Impact of Uncertain Contact Location on Situation Awareness and Performance in Simulated Submarine Track Management","10.1177/0018720816652754",NA,"SPAM",50,50,0.223656109,0.021276596,"Loft 2016",69
"70","Loft",2016,"The Impact of Uncertain Contact Location on Situation Awareness and Performance in Simulated Submarine Track Management","10.1177/0018720816652754",NA,"SPAM",50,50,0.223656109,0.021276596,"Loft 2016",70
"71","Loft",2016,"The Impact of Uncertain Contact Location on Situation Awareness and Performance in Simulated Submarine Track Management","10.1177/0018720816652754",NA,"SPAM",50,50,0.202732554,0.021276596,"Loft 2016",71
"72","Loft",2016,"The Impact of Uncertain Contact Location on Situation Awareness and Performance in Simulated Submarine Track Management","10.1177/0018720816652754",NA,"SPAM",50,50,-0.161386696,0.021276596,"Loft 2016",72
"73","Loft",2016,"The Impact of Uncertain Contact Location on Situation Awareness and Performance in Simulated Submarine Track Management","10.1177/0018720816652754",NA,"SPAM",50,50,0.151140436,0.021276596,"Loft 2016",73
"74","Loft",2016,"The Impact of Uncertain Contact Location on Situation Awareness and Performance in Simulated Submarine Track Management","10.1177/0018720816652754",NA,"SPAM",50,50,0.140925576,0.021276596,"Loft 2016",74
"75","Loft",2016,"The Impact of Uncertain Contact Location on Situation Awareness and Performance in Simulated Submarine Track Management","10.1177/0018720816652754",NA,"SPAM",50,50,0.110446916,0.021276596,"Loft 2016",75
"76","Loft",2016,"The Impact of Uncertain Contact Location on Situation Awareness and Performance in Simulated Submarine Track Management","10.1177/0018720816652754",NA,"SPAM",50,50,-0.100335348,0.021276596,"Loft 2016",76
"77","Loft",2016,"The Impact of Uncertain Contact Location on Situation Awareness and Performance in Simulated Submarine Track Management","10.1177/0018720816652754",NA,"SPAM",50,50,0.090244188,0.021276596,"Loft 2016",77
"78","Loft",2016,"The Impact of Uncertain Contact Location on Situation Awareness and Performance in Simulated Submarine Track Management","10.1177/0018720816652754",NA,"SPAM",50,50,0.020002667,0.021276596,"Loft 2016",78
"79","Loft",2016,"The Impact of Uncertain Contact Location on Situation Awareness and Performance in Simulated Submarine Track Management","10.1177/0018720816652754",NA,"SPAM",50,50,0.020002667,0.021276596,"Loft 2016",79
"80","Loft",2016,"The Impact of Uncertain Contact Location on Situation Awareness and Performance in Simulated Submarine Track Management","10.1177/0018720816652754",NA,"SPAM",50,50,-0.100335348,0.021276596,"Loft 2016",80
"81","Loft",2016,"The Impact of Uncertain Contact Location on Situation Awareness and Performance in Simulated Submarine Track Management","10.1177/0018720816652754",NA,"SPAM",50,50,0.120581028,0.021276596,"Loft 2016",81
"82","Loft",2016,"The Impact of Uncertain Contact Location on Situation Awareness and Performance in Simulated Submarine Track Management","10.1177/0018720816652754",NA,"SPAM",50,50,0.120581028,0.021276596,"Loft 2016",82
"83","Loft",2016,"The Impact of Uncertain Contact Location on Situation Awareness and Performance in Simulated Submarine Track Management","10.1177/0018720816652754",NA,"SPAM",50,50,0.140925576,0.021276596,"Loft 2016",83
"84","Loft",2016,"The Impact of Uncertain Contact Location on Situation Awareness and Performance in Simulated Submarine Track Management","10.1177/0018720816652754",NA,"SPAM",50,50,0.181982689,0.021276596,"Loft 2016",84
"85","Loft",2016,"The Impact of Uncertain Contact Location on Situation Awareness and Performance in Simulated Submarine Track Management","10.1177/0018720816652754",NA,"SPAM",50,50,0.298566264,0.021276596,"Loft 2016",85
"86","Loft",2016,"The Impact of Uncertain Contact Location on Situation Awareness and Performance in Simulated Submarine Track Management","10.1177/0018720816652754",NA,"SPAM",50,50,0.376885901,0.021276596,"Loft 2016",86
"87","Loft",2016,"The Impact of Uncertain Contact Location on Situation Awareness and Performance in Simulated Submarine Track Management","10.1177/0018720816652754",NA,"SPAM",50,50,0.741416144,0.021276596,"Loft 2016",87
"88","Loft",2016,"The Impact of Uncertain Contact Location on Situation Awareness and Performance in Simulated Submarine Track Management","10.1177/0018720816652754",NA,"SPAM",50,50,0.758173745,0.021276596,"Loft 2016",88
"89","Lukosch",2016,"The role of awareness for complex planning task performance: A microgaming study.","10.4018/IJGBL.2016040102",NA,"SART",142,107,0.332761588,0.009615385,"Lukosch2016",89
"90","Matthews",2002,"Assessing Situation Awareness in Field Training Exercises",NA,"http://www.dtic.mil/dtic/tr/fulltext/u2/a408560.pdf","MARS",16,16,0.050041729,0.076923077,"Matthews2002",90
"91","Matthews",2002,"Assessing Situation Awareness in Field Training Exercises",NA,"http://www.dtic.mil/dtic/tr/fulltext/u2/a408560.pdf","MARS",16,16,0.202732554,0.076923077,"Matthews2002",91
"92","Matthews",2002,"Assessing Situation Awareness in Field Training Exercises",NA,"http://www.dtic.mil/dtic/tr/fulltext/u2/a408560.pdf","MARS",16,16,0.213171347,0.076923077,"Matthews2002",92
"93","Matthews",2002,"Assessing Situation Awareness in Field Training Exercises",NA,"http://www.dtic.mil/dtic/tr/fulltext/u2/a408560.pdf","MARS",16,16,0.234189467,0.076923077,"Matthews2002",93
"94","Matthews",2002,"Assessing Situation Awareness in Field Training Exercises",NA,"http://www.dtic.mil/dtic/tr/fulltext/u2/a408560.pdf","SABARS",15,15,0.244774113,0.083333333,"Matthews2002",94
"95","Matthews",2002,"Assessing Situation Awareness in Field Training Exercises",NA,"http://www.dtic.mil/dtic/tr/fulltext/u2/a408560.pdf","SABARS",15,15,0.276863823,0.083333333,"Matthews2002",95
"96","Matthews",2002,"Assessing Situation Awareness in Field Training Exercises",NA,"http://www.dtic.mil/dtic/tr/fulltext/u2/a408560.pdf","SABARS",15,15,0.549306144,0.083333333,"Matthews2002",96
"97","Matthews",2002,"Assessing Situation Awareness in Field Training Exercises",NA,"http://www.dtic.mil/dtic/tr/fulltext/u2/a408560.pdf","SABARS",15,15,0.907644983,0.083333333,"Matthews2002",97
"98","O'Brien",2007,"Situational awareness ability and cognitive skills training in a complex real-world task.","10.1080/00140130701276640",NA,"SAGAT",28,18,0.545314107,0.066666667,"O'Brien2007",98
"99","O'Brien",2007,"Situational awareness ability and cognitive skills training in a complex real-world task.","10.1080/00140130701276640",NA,"SAGAT",28,18,0.50750636,0.066666667,"O'Brien2007",99
"100","O'Brien",2007,"Situational awareness ability and cognitive skills training in a complex real-world task.","10.1080/00140130701276640",NA,"SAGAT",28,18,0.574970116,0.066666667,"O'Brien2007",100
"101","O'Brien",2007,"Situational awareness ability and cognitive skills training in a complex real-world task.","10.1080/00140130701276640",NA,"SAGAT",28,18,0.739759773,0.066666667,"O'Brien2007",101
"102","O'Brien",2007,"Situational awareness ability and cognitive skills training in a complex real-world task.","10.1080/00140130701276640",NA,"SAGAT",28,18,-0.2596117,0.066666667,"O'Brien2007",102
"103","O'Brien",2007,"Situational awareness ability and cognitive skills training in a complex real-world task.","10.1080/00140130701276640",NA,"SAGAT",28,18,0.222492073,0.066666667,"O'Brien2007",103
"104","O'Brien",2007,"Situational awareness ability and cognitive skills training in a complex real-world task.","10.1080/00140130701276640",NA,"SAGAT",28,18,0.062968779,0.066666667,"O'Brien2007",104
"105","O'Brien",2007,"Situational awareness ability and cognitive skills training in a complex real-world task.","10.1080/00140130701276640",NA,"SAGAT",28,18,-0.108912099,0.066666667,"O'Brien2007",105
"106","O'Brien",2007,"Situational awareness ability and cognitive skills training in a complex real-world task.","10.1080/00140130701276640",NA,"SAGAT",28,18,-0.207467906,0.066666667,"O'Brien2007",106
"107","O'Brien",2007,"Situational awareness ability and cognitive skills training in a complex real-world task.","10.1080/00140130701276640",NA,"SAGAT",28,18,-0.018400681,0.066666667,"O'Brien2007",107
"108","O'Brien",2007,"Situational awareness ability and cognitive skills training in a complex real-world task.","10.1080/00140130701276640",NA,"SAGAT",28,18,0.054906665,0.066666667,"O'Brien2007",108
"109","O'Brien",2007,"Situational awareness ability and cognitive skills training in a complex real-world task.","10.1080/00140130701276640",NA,"SAGAT",28,18,0.13455597,0.066666667,"O'Brien2007",109
"110","O'Brien",2007,"Situational awareness ability and cognitive skills training in a complex real-world task.","10.1080/00140130701276640",NA,"SAGAT",28,18,-0.166309568,0.066666667,"O'Brien2007",110
"111","O'Brien",2007,"Situational awareness ability and cognitive skills training in a complex real-world task.","10.1080/00140130701276640",NA,"SAGAT",28,18,0.340247448,0.066666667,"O'Brien2007",111
"112","O'Brien",2007,"Situational awareness ability and cognitive skills training in a complex real-world task.","10.1080/00140130701276640",NA,"SAGAT",28,18,0.228931984,0.066666667,"O'Brien2007",112
"113","Riley",2004,"Situation awareness and attention allocation measures for quantifying telepresence experiences in teleoperation","10.1002/hfm.10050",NA,"SAGAT",24,24,0.243872194,0.047619048,"Riley2004",113
"114","Riley",2004,"Situation awareness and attention allocation measures for quantifying telepresence experiences in teleoperation","10.1002/hfm.10050",NA,"SAGAT",24,24,0.179466442,0.047619048,"Riley2004",114
"115","Riley",2004,"Situation awareness and attention allocation measures for quantifying telepresence experiences in teleoperation","10.1002/hfm.10050",NA,"SAGAT",24,24,0.22709988,0.047619048,"Riley2004",115
"116","Riley",2004,"Situation awareness and attention allocation measures for quantifying telepresence experiences in teleoperation","10.1002/hfm.10050",NA,"SAGAT",24,24,0.235518515,0.047619048,"Riley2004",116
"117","Salmon",2009,"Measuring Situation Awareness in complex systems: Comparison of measures study","10.1016/j.ergon.2008.10.010",NA,"SART",20,20,-0.120581028,0.058823529,"Salmon2009",117
"118","Salmon",2009,"Measuring Situation Awareness in complex systems: Comparison of measures study","10.1016/j.ergon.2008.10.010",NA,"SART",20,20,-0.120581028,0.058823529,"Salmon2009",118
"119","Salmon",2009,"Measuring Situation Awareness in complex systems: Comparison of measures study","10.1016/j.ergon.2008.10.010",NA,"SART",20,20,0.120581028,0.058823529,"Salmon2009",119
"120","Salmon",2009,"Measuring Situation Awareness in complex systems: Comparison of measures study","10.1016/j.ergon.2008.10.010",NA,"SART",20,20,-0.120581028,0.058823529,"Salmon2009",120
"121","Salmon",2009,"Measuring Situation Awareness in complex systems: Comparison of measures study","10.1016/j.ergon.2008.10.010",NA,"SAGAT",20,20,0.306226146,0.058823529,"Salmon2009",121
"122","Salmon",2009,"Measuring Situation Awareness in complex systems: Comparison of measures study","10.1016/j.ergon.2008.10.010",NA,"SAGAT",20,20,0.405916575,0.058823529,"Salmon2009",122
"123","Salmon",2009,"Measuring Situation Awareness in complex systems: Comparison of measures study","10.1016/j.ergon.2008.10.010",NA,"SAGAT",20,20,0.79636554,0.058823529,"Salmon2009",123
"124","Salmon",2009,"Measuring Situation Awareness in complex systems: Comparison of measures study","10.1016/j.ergon.2008.10.010",NA,"SAGAT",20,20,0.849867036,0.058823529,"Salmon2009",124
"125","Saus",2006,"The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study","10.1207/s15327876mp1803s_2",NA,"SARS",40,40,0.100335348,0.027027027,"Saus2006",125
"126","Saus",2006,"The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study","10.1207/s15327876mp1803s_2",NA,"SABARS",40,40,0.110446916,0.027027027,"Saus2006",126
"127","Saus",2006,"The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study","10.1207/s15327876mp1803s_2",NA,"SARS",40,40,0.140925576,0.027027027,"Saus2006",127
"128","Saus",2006,"The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study","10.1207/s15327876mp1803s_2",NA,"SARS",40,40,0.161386696,0.027027027,"Saus2006",128
"129","Saus",2006,"The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study","10.1207/s15327876mp1803s_2",NA,"SARS",40,40,0.161386696,0.027027027,"Saus2006",129
"130","Saus",2006,"The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study","10.1207/s15327876mp1803s_2",NA,"SABARS",40,40,0.171666664,0.027027027,"Saus2006",130
"131","Saus",2006,"The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study","10.1207/s15327876mp1803s_2",NA,"SARS",40,40,0.192337169,0.027027027,"Saus2006",131
"132","Saus",2006,"The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study","10.1207/s15327876mp1803s_2",NA,"SABARS",40,40,0.213171347,0.027027027,"Saus2006",132
"133","Saus",2006,"The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study","10.1207/s15327876mp1803s_2",NA,"SABARS",40,40,0.234189467,0.027027027,"Saus2006",133
"134","Saus",2006,"The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study","10.1207/s15327876mp1803s_2",NA,"SABARS",40,40,0.234189467,0.027027027,"Saus2006",134
"135","Saus",2006,"The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study","10.1207/s15327876mp1803s_2",NA,"SABARS",40,40,0.266108407,0.027027027,"Saus2006",135
"136","Saus",2006,"The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study","10.1207/s15327876mp1803s_2",NA,"SARS",40,40,0.276863823,0.027027027,"Saus2006",136
"137","Saus",2006,"The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study","10.1207/s15327876mp1803s_2",NA,"SARS",40,40,0.287682072,0.027027027,"Saus2006",137
"138","Saus",2006,"The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study","10.1207/s15327876mp1803s_2",NA,"SARS",40,40,0.320545409,0.027027027,"Saus2006",138
"139","Saus",2006,"The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study","10.1207/s15327876mp1803s_2",NA,"SABARS",40,40,0.342828254,0.027027027,"Saus2006",139
"140","Saus",2006,"The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study","10.1207/s15327876mp1803s_2",NA,"SABARS",40,40,0.342828254,0.027027027,"Saus2006",140
"141","Saus",2006,"The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study","10.1207/s15327876mp1803s_2",NA,"SARS",40,40,0.354092529,0.027027027,"Saus2006",141
